Timestamp,Endpoint,Test Type,Location,Provider,Response Time (ms)
2025-12-28 22:01:01,"Tokyo, JP [AWS] - DNS",DNS,"Tokyo, JP",AWS,64
2025-12-28 22:01:01,"Seoul, KR [AWS] - PING",PING,"Seoul, KR",AWS,232
2025-12-28 22:01:01,"Melbourne, AU [AWS] - DNS",DNS,"Melbourne, AU",AWS,63
2025-12-28 22:01:01,"Portland, OR [AWS] - HTTP",HTTP,"Portland, OR",AWS,407
2025-12-28 22:01:01,"Paris, FR [AWS] - HTTP",HTTP,"Paris, FR",AWS,1388
2025-12-28 22:01:01,"Ashburn, VA [AWS] - HTTP",HTTP,"Ashburn, VA",AWS,145
2025-12-28 22:01:01,"Montreal, CA [AWS] - PING",PING,"Montreal, CA",AWS,19
2025-12-28 22:01:01,"Frankfurt, DE [AWS] - DNS",DNS,"Frankfurt, DE",AWS,80
2025-12-28 22:01:01,"Montreal, CA [AWS] - DNS",DNS,"Montreal, CA",AWS,82
2025-12-28 22:01:01,"Columbus, OH [AWS] - DNS",DNS,"Columbus, OH",AWS,82
2025-12-28 22:01:01,"Dubai, AE [AWS] - PING",PING,"Dubai, AE",AWS,211
2025-12-28 22:01:01,"Dubai, AE [AWS] - HTTP",HTTP,"Dubai, AE",AWS,671
2025-12-28 22:01:01,"Columbus, OH [AWS] - PING",PING,"Columbus, OH",AWS,29
2025-12-28 22:01:01,"Mumbai, IN [AWS] - HTTP",HTTP,"Mumbai, IN",AWS,747
2025-12-28 22:01:01,"Frankfurt, DE [AWS] - PING",PING,"Frankfurt, DE",AWS,92
2025-12-28 22:01:01,"Columbus, OH [AWS] - HTTP",HTTP,"Columbus, OH",AWS,178
2025-12-28 22:01:01,"Hyderabad, IN [AWS] - DNS",DNS,"Hyderabad, IN",AWS,72
2025-12-28 22:01:01,"Riyadh, SA [AWS] - DNS",DNS,"Riyadh, SA",AWS,86
2025-12-28 22:01:01,"Stockholm, SE [AWS] - PING",PING,"Stockholm, SE",AWS,101
2025-12-28 22:01:01,"Stockholm, SE [AWS] - HTTP",HTTP,"Stockholm, SE",AWS,440
2025-12-28 22:01:01,"Hyderabad, IN [AWS] - PING",PING,"Hyderabad, IN",AWS,272
2025-12-28 22:01:01,"London, UK [AWS] - PING",PING,"London, UK",AWS,80
2025-12-28 22:01:01,"London, UK [AWS] - HTTP",HTTP,"London, UK",AWS,420
2025-12-28 22:01:01,"Riyadh, SA [AWS] - PING",PING,"Riyadh, SA",AWS,246
2025-12-28 22:01:01,"Milan, IT [AWS] - DNS",DNS,"Milan, IT",AWS,47
2025-12-28 22:01:01,"Hyderabad, IN [AWS] - HTTP",HTTP,"Hyderabad, IN",AWS,864
2025-12-28 22:01:01,"Riyadh, SA [AWS] - HTTP",HTTP,"Riyadh, SA",AWS,758
2025-12-28 22:01:01,"Singapore, SG [AWS] - PING",PING,"Singapore, SG",AWS,262
2025-12-28 22:01:01,"Milan, IT [AWS] - PING",PING,"Milan, IT",AWS,106
2025-12-28 22:01:01,"Stockholm, SE [AWS] - DNS",DNS,"Stockholm, SE",AWS,72
2025-12-28 22:01:01,"Mumbai, IN [AWS] - DNS",DNS,"Mumbai, IN",AWS,80
2025-12-28 22:01:01,"Frankfurt, DE [AWS] - HTTP",HTTP,"Frankfurt, DE",AWS,426
2025-12-28 22:01:01,"Singapore, SG [AWS] - DNS",DNS,"Singapore, SG",AWS,77
2025-12-28 22:01:01,"Singapore, SG [AWS] - HTTP",HTTP,"Singapore, SG",AWS,863
2025-12-28 22:01:01,"Mumbai, IN [AWS] - PING",PING,"Mumbai, IN",AWS,220
2025-12-28 22:01:01,"London, UK [AWS] - DNS",DNS,"London, UK",AWS,80
2025-12-28 22:01:01,"Milan, IT [AWS] - HTTP",HTTP,"Milan, IT",AWS,2339
2025-12-28 22:01:01,"Dubai, AE [AWS] - DNS",DNS,"Dubai, AE",AWS,62
2025-12-28 22:01:31,"São Paulo, BR [AWS] - DNS",DNS,"São Paulo, BR",AWS,61
2025-12-28 22:01:31,"Frankfurt, DE [AWS] - HTTP",HTTP,"Frankfurt, DE",AWS,421
2025-12-28 22:01:31,"Montreal, CA [AWS] - HTTP",HTTP,"Montreal, CA",AWS,241
2025-12-28 22:01:31,"Paris, FR [AWS] - PING",PING,"Paris, FR",AWS,120
2025-12-28 22:01:31,"Tokyo, JP [AWS] - DNS",DNS,"Tokyo, JP",AWS,79
2025-12-28 22:01:31,"Cape Town, ZA [AWS] - PING",PING,"Cape Town, ZA",AWS,260
2025-12-28 22:01:31,"Paris, FR [AWS] - HTTP",HTTP,"Paris, FR",AWS,2407
2025-12-28 22:01:31,"Cape Town, ZA [AWS] - HTTP",HTTP,"Cape Town, ZA",AWS,4462
2025-12-28 22:01:31,"São Paulo, BR [AWS] - PING",PING,"São Paulo, BR",AWS,154
2025-12-28 22:01:31,"Tokyo, JP [AWS] - PING",PING,"Tokyo, JP",AWS,199
2025-12-28 22:01:31,"Riyadh, SA [AWS] - PING",PING,"Riyadh, SA",AWS,225
2025-12-28 22:01:31,"Riyadh, SA [AWS] - HTTP",HTTP,"Riyadh, SA",AWS,956
2025-12-28 22:01:31,"Cape Town, ZA [AWS] - DNS",DNS,"Cape Town, ZA",AWS,85
2025-12-28 22:01:31,"Hyderabad, IN [AWS] - HTTP",HTTP,"Hyderabad, IN",AWS,822
2025-12-28 22:01:31,"Frankfurt, DE [AWS] - DNS",DNS,"Frankfurt, DE",AWS,68
2025-12-28 22:01:31,"São Paulo, BR [AWS] - HTTP",HTTP,"São Paulo, BR",AWS,484
2025-12-28 22:01:31,"Mumbai, IN [AWS] - DNS",DNS,"Mumbai, IN",AWS,86
2025-12-28 22:01:31,"Singapore, SG [AWS] - DNS",DNS,"Singapore, SG",AWS,69
2025-12-28 22:01:31,"Singapore, SG [AWS] - PING",PING,"Singapore, SG",AWS,241
2025-12-28 22:01:31,"London, UK [AWS] - DNS",DNS,"London, UK",AWS,82
2025-12-28 22:01:31,"Mumbai, IN [AWS] - PING",PING,"Mumbai, IN",AWS,206
2025-12-28 22:01:31,"Paris, FR [AWS] - DNS",DNS,"Paris, FR",AWS,47
