2025-12-28 21:13:27 | [UP] San Jose DNS (California, USA)                | Type: dns | Response: 0ms
2025-12-28 21:13:27 | [UP] Frankfurt CDN (Germany)                       | Type: dns | Response: 0ms
2025-12-28 21:13:27 | [UP] Singapore CDN (Singapore)                     | Type: dns | Response: 0ms
2025-12-28 21:13:27 | [UP] Tokyo DNS (Japan)                             | Type: dns | Response: 0ms
2025-12-28 21:13:27 | [UP] Melbourne DNS (Australia)                     | Type: dns | Response: 6ms
2025-12-28 21:13:27 | [UP] Pune DNS (India)                              | Type: dns | Response: 12ms
2025-12-28 21:13:27 | [UP] Cape Town DNS (South Africa)                  | Type: dns | Response: 19ms
2025-12-28 21:13:29 | [UP] London DNS (UK)                               | Type: ping | Response: 678ms
2025-12-28 21:13:29 | [UP] Sydney CDN (Australia)                        | Type: ping | Response: 679ms
2025-12-28 21:13:29 | [UP] Dallas DNS (Texas, USA)                       | Type: ping | Response: 680ms
2025-12-28 21:13:29 | [UP] Ashburn DNS (Virginia, USA)                   | Type: ping | Response: 681ms
2025-12-28 21:13:29 | [UP] Paris CDN (France)                            | Type: ping | Response: 683ms
2025-12-28 21:13:29 | [UP] Bangkok DNS (Thailand)                        | Type: ping | Response: 696ms
2025-12-28 21:13:29 | [UP] Johannesburg DNS (South Africa)               | Type: ping | Response: 755ms
2025-12-28 21:13:35 | [DOWN] Mumbai DNS (India)                            | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:13:35 | [DOWN] Dubai DNS (UAE)                               | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:13:35 | [DOWN] São Paulo DNS (Brazil)                        | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:13:35 | [DOWN] Mexico City DNS (Mexico)                      | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:13:35 | [DOWN] Riyadh DNS (Saudi Arabia)                     | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:13:59 | [UP] Router                                        | Type: ping | Response: 678ms
2025-12-28 21:13:57 | [UP] GitHub                                        | Type: http | Response: 21ms
2025-12-28 21:13:57 | [DOWN] MA Connect Website                            | Type: http | Response: 0ms | Error: Get "https://maconnect.mastercard.com": dial tcp: lookup maconnect.mastercard.com: no such host
2025-12-28 21:13:57 | [UP] Mastercard Website                            | Type: http | Response: 29ms
2025-12-28 21:13:57 | [UP] Home Router                                   | Type: http | Response: 40ms
2025-12-28 21:13:57 | [UP] Google                                        | Type: http | Response: 109ms
2025-12-28 21:13:57 | [UP] George Maddaloni Website                      | Type: http | Response: 261ms
2025-12-28 21:13:57 | [UP] San Jose DNS (California, USA)                | Type: dns | Response: 0ms
2025-12-28 21:13:57 | [UP] Tokyo DNS (Japan)                             | Type: dns | Response: 0ms
2025-12-28 21:13:57 | [UP] Singapore CDN (Singapore)                     | Type: dns | Response: 0ms
2025-12-28 21:13:57 | [UP] Frankfurt CDN (Germany)                       | Type: dns | Response: 0ms
2025-12-28 21:13:57 | [UP] Melbourne DNS (Australia)                     | Type: dns | Response: 7ms
2025-12-28 21:13:57 | [UP] Cape Town DNS (South Africa)                  | Type: dns | Response: 10ms
2025-12-28 21:13:57 | [UP] Pune DNS (India)                              | Type: dns | Response: 14ms
2025-12-28 21:13:59 | [UP] London DNS (UK)                               | Type: ping | Response: 678ms
2025-12-28 21:13:59 | [UP] Paris CDN (France)                            | Type: ping | Response: 680ms
2025-12-28 21:13:59 | [UP] Dallas DNS (Texas, USA)                       | Type: ping | Response: 681ms
2025-12-28 21:13:59 | [UP] Ashburn DNS (Virginia, USA)                   | Type: ping | Response: 681ms
2025-12-28 21:13:59 | [UP] Sydney CDN (Australia)                        | Type: ping | Response: 681ms
2025-12-28 21:13:59 | [UP] Bangkok DNS (Thailand)                        | Type: ping | Response: 699ms
2025-12-28 21:13:59 | [UP] Johannesburg DNS (South Africa)               | Type: ping | Response: 760ms
2025-12-28 21:14:05 | [DOWN] Dubai DNS (UAE)                               | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:14:05 | [DOWN] Riyadh DNS (Saudi Arabia)                     | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:14:05 | [DOWN] Mexico City DNS (Mexico)                      | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:14:05 | [DOWN] Mumbai DNS (India)                            | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:14:05 | [DOWN] São Paulo DNS (Brazil)                        | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:14:29 | [UP] Router                                        | Type: ping | Response: 679ms
2025-12-28 21:14:27 | [DOWN] MA Connect Website                            | Type: http | Response: 0ms | Error: Get "https://maconnect.mastercard.com": dial tcp: lookup maconnect.mastercard.com: no such host
2025-12-28 21:14:27 | [UP] Mastercard Website                            | Type: http | Response: 27ms
2025-12-28 21:14:27 | [UP] GitHub                                        | Type: http | Response: 129ms
2025-12-28 21:14:27 | [UP] Google                                        | Type: http | Response: 238ms
2025-12-28 21:14:27 | [UP] George Maddaloni Website                      | Type: http | Response: 247ms
2025-12-28 21:14:28 | [UP] Home Router                                   | Type: http | Response: 1039ms
2025-12-28 21:14:27 | [UP] San Jose DNS (California, USA)                | Type: dns | Response: 0ms
2025-12-28 21:14:27 | [UP] Frankfurt CDN (Germany)                       | Type: dns | Response: 0ms
2025-12-28 21:14:27 | [UP] Singapore CDN (Singapore)                     | Type: dns | Response: 0ms
2025-12-28 21:14:27 | [UP] Tokyo DNS (Japan)                             | Type: dns | Response: 0ms
2025-12-28 21:14:27 | [UP] Melbourne DNS (Australia)                     | Type: dns | Response: 9ms
2025-12-28 21:14:27 | [UP] Pune DNS (India)                              | Type: dns | Response: 10ms
2025-12-28 21:14:27 | [UP] Cape Town DNS (South Africa)                  | Type: dns | Response: 11ms
2025-12-28 21:14:29 | [UP] Ashburn DNS (Virginia, USA)                   | Type: ping | Response: 679ms
2025-12-28 21:14:29 | [UP] Dallas DNS (Texas, USA)                       | Type: ping | Response: 678ms
2025-12-28 21:14:29 | [UP] London DNS (UK)                               | Type: ping | Response: 679ms
2025-12-28 21:14:29 | [UP] Paris CDN (France)                            | Type: ping | Response: 680ms
2025-12-28 21:14:29 | [UP] Sydney CDN (Australia)                        | Type: ping | Response: 679ms
2025-12-28 21:14:29 | [UP] Bangkok DNS (Thailand)                        | Type: ping | Response: 697ms
2025-12-28 21:14:29 | [UP] Johannesburg DNS (South Africa)               | Type: ping | Response: 759ms
2025-12-28 21:14:35 | [DOWN] Dubai DNS (UAE)                               | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:14:35 | [DOWN] Mumbai DNS (India)                            | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:14:35 | [DOWN] São Paulo DNS (Brazil)                        | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:14:35 | [DOWN] Riyadh DNS (Saudi Arabia)                     | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:14:35 | [DOWN] Mexico City DNS (Mexico)                      | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:14:59 | [UP] Router                                        | Type: ping | Response: 678ms
2025-12-28 21:14:57 | [DOWN] MA Connect Website                            | Type: http | Response: 0ms | Error: Get "https://maconnect.mastercard.com": dial tcp: lookup maconnect.mastercard.com: no such host
2025-12-28 21:14:57 | [UP] Mastercard Website                            | Type: http | Response: 20ms
2025-12-28 21:14:57 | [UP] GitHub                                        | Type: http | Response: 22ms
2025-12-28 21:14:57 | [UP] Home Router                                   | Type: http | Response: 43ms
2025-12-28 21:14:57 | [UP] Google                                        | Type: http | Response: 108ms
2025-12-28 21:14:57 | [UP] George Maddaloni Website                      | Type: http | Response: 252ms
2025-12-28 21:14:57 | [UP] San Jose DNS (California, USA)                | Type: dns | Response: 0ms
2025-12-28 21:14:57 | [UP] Tokyo DNS (Japan)                             | Type: dns | Response: 0ms
2025-12-28 21:14:57 | [UP] Singapore CDN (Singapore)                     | Type: dns | Response: 0ms
2025-12-28 21:14:57 | [UP] Frankfurt CDN (Germany)                       | Type: dns | Response: 0ms
2025-12-28 21:14:57 | [UP] Cape Town DNS (South Africa)                  | Type: dns | Response: 8ms
2025-12-28 21:14:57 | [UP] Melbourne DNS (Australia)                     | Type: dns | Response: 9ms
2025-12-28 21:14:57 | [UP] Pune DNS (India)                              | Type: dns | Response: 10ms
2025-12-28 21:14:59 | [UP] London DNS (UK)                               | Type: ping | Response: 680ms
2025-12-28 21:14:59 | [UP] Dallas DNS (Texas, USA)                       | Type: ping | Response: 681ms
2025-12-28 21:14:59 | [UP] Ashburn DNS (Virginia, USA)                   | Type: ping | Response: 681ms
2025-12-28 21:14:59 | [UP] Paris CDN (France)                            | Type: ping | Response: 681ms
2025-12-28 21:14:59 | [UP] Sydney CDN (Australia)                        | Type: ping | Response: 682ms
2025-12-28 21:14:59 | [UP] Bangkok DNS (Thailand)                        | Type: ping | Response: 700ms
2025-12-28 21:14:59 | [UP] Johannesburg DNS (South Africa)               | Type: ping | Response: 759ms
2025-12-28 21:15:05 | [DOWN] Mexico City DNS (Mexico)                      | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:15:05 | [DOWN] Riyadh DNS (Saudi Arabia)                     | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:15:05 | [DOWN] São Paulo DNS (Brazil)                        | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:15:05 | [DOWN] Mumbai DNS (India)                            | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:15:05 | [DOWN] Dubai DNS (UAE)                               | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:15:29 | [UP] Router                                        | Type: ping | Response: 678ms
2025-12-28 21:15:27 | [DOWN] MA Connect Website                            | Type: http | Response: 0ms | Error: Get "https://maconnect.mastercard.com": dial tcp: lookup maconnect.mastercard.com: no such host
2025-12-28 21:15:27 | [UP] Mastercard Website                            | Type: http | Response: 30ms
2025-12-28 21:15:27 | [UP] GitHub                                        | Type: http | Response: 30ms
2025-12-28 21:15:27 | [UP] Home Router                                   | Type: http | Response: 46ms
2025-12-28 21:15:27 | [UP] Google                                        | Type: http | Response: 114ms
2025-12-28 21:15:27 | [UP] George Maddaloni Website                      | Type: http | Response: 287ms
2025-12-28 21:15:27 | [UP] San Jose DNS (California, USA)                | Type: dns | Response: 0ms
2025-12-28 21:15:27 | [UP] Frankfurt CDN (Germany)                       | Type: dns | Response: 0ms
2025-12-28 21:15:27 | [UP] Singapore CDN (Singapore)                     | Type: dns | Response: 0ms
2025-12-28 21:15:27 | [UP] Tokyo DNS (Japan)                             | Type: dns | Response: 0ms
2025-12-28 21:15:27 | [UP] Cape Town DNS (South Africa)                  | Type: dns | Response: 11ms
2025-12-28 21:15:27 | [UP] Melbourne DNS (Australia)                     | Type: dns | Response: 11ms
2025-12-28 21:15:27 | [UP] Pune DNS (India)                              | Type: dns | Response: 11ms
2025-12-28 21:15:29 | [UP] London DNS (UK)                               | Type: ping | Response: 678ms
2025-12-28 21:15:29 | [UP] Paris CDN (France)                            | Type: ping | Response: 678ms
2025-12-28 21:15:29 | [UP] Ashburn DNS (Virginia, USA)                   | Type: ping | Response: 680ms
2025-12-28 21:15:29 | [UP] Dallas DNS (Texas, USA)                       | Type: ping | Response: 681ms
2025-12-28 21:15:29 | [UP] Sydney CDN (Australia)                        | Type: ping | Response: 682ms
2025-12-28 21:15:29 | [UP] Bangkok DNS (Thailand)                        | Type: ping | Response: 697ms
2025-12-28 21:15:29 | [UP] Johannesburg DNS (South Africa)               | Type: ping | Response: 768ms
2025-12-28 21:15:35 | [DOWN] São Paulo DNS (Brazil)                        | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:15:35 | [DOWN] Mexico City DNS (Mexico)                      | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:15:35 | [DOWN] Dubai DNS (UAE)                               | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:15:35 | [DOWN] Mumbai DNS (India)                            | Type: ping | Response: 0ms | Error: Host unreachable
